"Type","Color","Hue","Alcohol"
1,5.64,1.04,14.23
1,4.38,1.05,13.2
1,5.68,1.03,13.16
1,7.8,0.86,14.37
1,4.32,1.04,13.24
1,6.75,1.05,14.2
1,5.25,1.02,14.39
1,5.05,1.06,14.06
1,5.2,1.08,14.83
1,7.22,1.01,13.86
1,5.75,1.25,14.1
1,5,1.17,14.12
1,5.6,1.15,13.75
1,5.4,1.25,14.75
1,7.5,1.2,14.38
1,7.3,1.28,13.63
1,6.2,1.07,14.3
1,6.6,1.13,13.83
1,8.7,1.23,14.19
1,5.1,0.96,13.64
1,5.65,1.09,14.06
1,4.5,1.03,12.93
1,3.8,1.11,13.71
1,3.93,1.09,12.85
1,3.52,1.12,13.5
1,3.58,1.13,13.05
1,4.8,0.92,13.39
1,3.95,1.02,13.3
1,4.5,1.25,13.87
1,4.7,1.04,14.02
1,5.7,1.19,13.73
1,6.9,1.09,13.58
1,3.84,1.23,13.68
1,5.4,1.25,13.76
1,4.2,1.1,13.51
1,5.1,1.04,13.48
1,4.6,1.09,13.28
1,4.25,1.12,13.05
1,3.7,1.18,13.07
1,5.1,0.89,14.22
1,6.13,0.95,13.56
1,4.28,0.91,13.41
1,5.43,0.88,13.88
1,4.36,0.82,13.24
1,5.04,0.88,13.05
1,5.24,0.87,14.21
1,4.9,1.04,14.38
1,6.1,0.91,13.9
1,6.2,1.07,14.1
1,8.9,1.12,13.94
1,7.2,1.12,13.05
1,5.6,1.24,13.83
1,7.05,1.01,13.82
1,6.3,1.13,13.77
1,5.85,0.92,13.74
1,6.25,0.98,13.56
1,6.38,0.94,14.22
1,6,1.07,13.29
1,6.8,0.89,13.72
2,1.95,1.05,12.37
2,3.27,1.25,12.33
2,5.75,0.98,12.64
2,3.8,1.23,13.67
2,4.45,1.22,12.37
2,2.95,1.45,12.17
2,4.6,1.19,12.37
2,5.3,1.12,13.11
2,4.68,1.12,12.37
2,3.17,1.02,13.34
2,2.85,1.28,12.21
2,3.05,0.906,12.29
2,3.38,1.36,13.86
2,3.74,0.98,13.49
2,3.35,1.31,12.99
2,3.21,0.99,11.96
2,3.8,1.23,11.66
2,4.6,1.19,13.03
2,2.65,0.96,11.84
2,3.4,1.06,12.33
2,2.57,1.19,12.7
2,2.5,1.38,12
2,3.9,1.16,12.72
2,2.2,1.31,12.08
2,4.8,0.84,13.05
2,3.05,0.79,11.84
2,2.62,1.23,12.67
2,2.45,1.33,12.16
2,2.6,1.36,11.65
2,2.8,1,11.64
2,1.74,1.07,12.08
2,2.4,1.08,12.08
2,3.6,1.05,12
2,3.05,0.96,12.69
2,2.15,1.15,12.29
2,3.25,1.16,11.62
2,2.6,1.16,12.47
2,2.5,0.95,11.81
2,2.9,1.23,12.29
2,4.5,1.04,12.37
2,2.3,1.42,12.29
2,3.3,1.27,12.08
2,2.45,1.04,12.6
2,2.8,0.8,12.34
2,2.06,0.94,11.82
2,2.94,1.04,12.51
2,2.7,0.86,12.42
2,3.4,1,12.25
2,3.3,0.88,12.72
2,2.7,0.86,12.22
2,2.65,0.96,11.61
2,2.9,0.75,11.46
2,2,0.9,12.52
2,3.8,1.23,11.76
2,3.08,1.1,11.41
2,2.9,0.93,12.08
2,1.9,1.71,11.03
2,1.95,0.95,11.82
2,2.06,1.06,12.42
2,3.4,0.7,12.77
2,1.28,0.93,12
2,3.25,0.8,11.45
2,6,0.93,11.56
2,2.08,0.92,12.42
2,2.6,0.73,13.05
2,2.8,0.75,11.87
2,2.76,0.86,12.07
2,3.94,0.69,12.43
2,3,0.97,11.79
2,2.12,0.89,12.37
2,2.6,0.79,12.04
3,4.1,0.76,12.86
3,5.4,0.74,12.88
3,5.7,0.66,12.81
3,5,0.78,12.7
3,5.45,0.75,12.51
3,7.1,0.73,12.6
3,3.85,0.75,12.25
3,5,0.82,12.53
3,5.7,0.81,13.49
3,4.92,0.89,12.84
3,4.6,0.77,12.93
3,5.6,0.7,13.36
3,4.35,0.89,13.52
3,4.4,0.91,13.62
3,8.21,0.65,12.25
3,4,0.6,13.16
3,4.9,0.58,13.88
3,7.65,0.54,12.87
3,8.42,0.55,13.32
3,9.4,0.57,13.08
3,8.6,0.59,13.5
3,10.8,0.48,12.79
3,7.1,0.61,13.11
3,10.52,0.56,13.23
3,7.6,0.58,12.58
3,7.9,0.6,13.17
3,9.01,0.57,13.84
3,7.5,0.67,12.45
3,13,0.57,14.34
3,11.75,0.57,13.48
3,7.65,0.56,12.36
3,5.88,0.96,13.69
3,5.58,0.87,12.85
3,5.28,0.68,12.96
3,9.58,0.7,13.78
3,6.62,0.78,13.73
3,10.68,0.85,13.45
3,10.26,0.72,12.82
3,8.66,0.74,13.58
3,8.5,0.67,13.4
3,5.5,0.66,12.2
3,9.899999,0.57,12.77
3,9.7,0.62,14.16
3,7.7,0.64,13.71
3,7.3,0.7,13.4
3,10.2,0.59,13.27
3,9.3,0.6,13.17
3,9.2,0.61,14.13
