"class","teacherExp"
1,24
2,14
3,13
4,20
5,5
6,8
7,17
8,12
9,9
10,21
11,11
12,16
13,19
14,2
15,8
16,11
17,16
18,21
19,16
20,10
21,17
22,11
23,15
24,6
25,19
26,10
27,10
28,13
29,22
30,6
31,6
32,12
33,3
34,8
35,25
36,15
37,20
38,18
39,19
40,2
41,18
42,12
43,12
44,14
45,20
46,18
47,13
48,6
49,7
50,25
51,16
52,7
53,21
54,16
55,7
56,12
57,4
58,22
59,5
60,3
61,23
62,25
63,15
64,25
65,22
66,8
67,23
68,20
69,24
70,22
71,18
72,19
73,14
74,17
75,21
76,16
77,3
78,23
79,15
80,23
81,8
82,8
83,24
84,22
85,16
86,4
87,2
88,13
89,13
90,3
91,16
92,16
93,10
94,21
95,15
96,13
97,9
98,25
99,21
100,7
