"id","t0","t1","t2","female"
1,161,210,230,0
2,215,245,265,0
3,134,215,139,0
4,165,140,175,0
5,220,189,158,0
6,146,140,130,0
7,300,300,300,0
8,278,170,158,0
9,230,220,240,0
10,155,170,125,0
11,230,243,245,0
13,220,250,235,0
14,130,150,120,0
15,300,300,300,0
17,260,200,125,0
18,200,200,232,0
19,300,300,300,0
20,245,290,280,0
21,170,170,146,0
22,140,152,150,0
23,220,168,139,0
24,155,215,170,0
25,170,220,240,0
26,200,185,163,0
27,101,93,120,0
28,240,210,173,0
29,275,255,170,0
30,80,86,80,1
31,80,80,70,1
33,50,30,40,1
34,90,110,90,1
35,80,95,110,1
37,60,70,80,1
38,80,90,90,1
39,60,60,65,1
40,156,140,150,1
41,82,98,110,1
42,165,150,160,1
43,150,170,185,1
44,105,70,88,1
45,90,90,116,1
49,80,60,60,1
50,70,70,70,1
51,75,90,90,1
52,100,80,90,1
53,60,65,70,1
54,50,80,80,1
55,60,80,60,1
56,90,120,130,1
57,90,94,100,1
58,131,95,105,1
59,108,160,160,1
60,60,65,55,1
61,130,160,125,1
62,95,105,110,1
63,120,144,135,1
65,45,76,75,1
67,60,55,58,1
